,test_image,response,resptime,proband,rotation,image,category,sigma
30,portrait_6_12.jpeg,3,2.473181,david,False,portrait_6,portrait,12
31,nature_3_20.jpeg,4,1.565824,david,False,nature_3,nature,20
32,nautre_8_r.jpeg,4,1.384917,david,True,nautre_8,nautre,original
33,nature_5_7.jpeg,3,2.122404,david,False,nature_5,nature,7
34,portrait_2.jpeg,5,1.384261,david,False,portrait_2,portrait,original
35,nature_7_r_7.jpeg,2,2.200495,david,True,nature_7,nature,7
36,portrait_6_4.jpeg,2,0.742957,david,False,portrait_6,portrait,4
37,portrait_8_20.jpeg,5,3.351048,david,False,portrait_8,portrait,20
38,portrait_7_4.jpeg,1,2.086763,david,False,portrait_7,portrait,4
39,art_8_r_7.jpeg,2,1.616351,david,True,art_8,art,7
40,nature_4_4.jpeg,2,0.964123,david,False,nature_4,nature,4
41,art_2_r_20.jpeg,4,5.334352,david,True,art_2,art,20
42,art_7_r_12.jpeg,4,1.647392,david,True,art_7,art,12
43,art_1_r_4.jpeg,4,1.66096,david,True,art_1,art,4
44,nautre_9_12.jpeg,4,1.987192,david,False,nautre_9,nautre,12
45,nature_3_r_20.jpeg,4,0.871507,david,True,nature_3,nature,20
46,art_9_r_12.jpeg,4,1.654359,david,True,art_9,art,12
47,portrait_7_7.jpeg,3,2.777251,david,False,portrait_7,portrait,7
48,nature_6_r.jpeg,4,2.820892,david,True,nature_6,nature,original
49,nature_7_4.jpeg,1,1.880111,david,False,nature_7,nature,4
50,art_7_20.jpeg,3,1.331144,david,False,art_7,art,20
51,portrait_5_7.jpeg,2,1.119637,david,False,portrait_5,portrait,7
52,nature_2_r_7.jpeg,1,1.471654,david,True,nature_2,nature,7
53,nature_10_4.jpeg,1,1.231583,david,False,nature_10,nature,4
54,portrait_2_12.jpeg,5,2.061017,david,False,portrait_2,portrait,12
55,portrait_5_4.jpeg,1,2.007542,david,False,portrait_5,portrait,4
56,art_1_12.jpeg,5,1.45282,david,False,art_1,art,12
57,nautre_8_4.jpeg,2,1.515457,david,False,nautre_8,nautre,4
58,nature_3_r_4.jpeg,2,0.887559,david,True,nature_3,nature,4
59,nature_10.jpeg,4,2.541724,david,False,nature_10,nature,original
60,art_5_20.jpeg,4,2.588512,david,False,art_5,art,20
61,art_10_20.jpeg,5,1.524496,david,False,art_10,art,20
62,art_2_r_7.jpeg,4,1.261551,david,True,art_2,art,7
63,portrait_9_20.jpeg,4,1.472796,david,False,portrait_9,portrait,20
64,art_5_4.jpeg,2,1.37013,david,False,art_5,art,4
65,art_6_7.jpeg,2,6.893393,david,False,art_6,art,7
66,portrait_2_r_7.jpeg,4,3.522311,david,True,portrait_2,portrait,7
67,portrait_3_r_4.jpeg,2,2.038231,david,True,portrait_3,portrait,4
68,art_4_r_12.jpeg,4,1.941887,david,True,art_4,art,12
69,portrait_4.jpeg,4,3.89148,david,False,portrait_4,portrait,original
